episode_id,step,reward_mean_0,reward_mean_1,reward_total_0,reward_total_1,episode_length_steps,avg_speed_0_kmh,avg_speed_1_kmh,max_speed_0_kmh,max_speed_1_kmh,avg_angle_0_rad,avg_angle_1_rad,laps_0,laps_1,overtakes_0,overtakes_1,min_distance_m,avg_distance_m,pct_leader_0,pct_leader_1,max_meters_traveled_0,max_meters_traveled_1,max_progress_pct_0,max_progress_pct_1,best_lap_time_0_s,best_lap_time_1_s,policy_loss,value_loss,reason
42,1869,0.0040,0.0289,0.43,3.10,107,35.44,28.75,43.66,36.08,0.251,0.222,0,0,0,0,3.69,4.62,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
43,1966,-1.5414,-1.5549,-149.51,-150.82,97,33.74,32.76,43.66,40.20,0.095,0.137,0,0,0,0,2.12,0.64,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
44,2026,0.0753,0.1213,4.52,7.28,60,32.00,33.82,36.82,38.47,0.126,0.109,0,0,0,0,2.68,0.73,63.3,36.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
45,2083,-1.0426,-1.2118,-59.43,-69.07,57,33.06,31.27,39.79,34.61,0.164,0.150,0,0,0,0,2.14,0.35,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.11220,16.52241,wall_collision
46,2119,-0.6661,-0.9772,-23.98,-35.18,36,29.19,26.15,34.27,30.23,0.248,0.183,0,0,0,0,2.85,0.56,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
47,2154,-0.9673,0.2873,-33.86,10.06,35,21.66,30.35,34.23,34.41,0.318,0.178,0,0,0,0,4.67,0.97,68.6,31.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
48,2189,0.2771,-0.3979,9.70,-13.93,35,24.34,20.13,30.23,34.43,0.084,0.306,0,0,0,0,7.03,0.97,65.7,34.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
49,2230,-0.3308,0.0288,-13.56,1.18,41,23.66,31.32,30.23,34.37,0.143,0.136,0,0,0,0,4.00,2.24,22.0,78.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
50,2291,0.3045,0.1241,18.58,7.57,61,33.43,30.33,38.11,34.23,0.127,0.165,0,0,0,0,3.51,0.62,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
51,2350,0.0835,0.1252,4.93,7.39,59,29.26,31.29,34.21,35.36,0.125,0.087,0,0,0,0,2.84,0.27,86.4,13.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
52,2382,-2.7994,-2.8120,-89.58,-89.98,32,31.19,30.83,34.23,34.41,0.091,0.108,0,0,0,0,1.94,0.00,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
53,2414,0.2913,-1.6342,9.32,-52.29,32,31.53,26.42,34.49,34.43,0.137,0.204,0,0,0,0,5.05,0.44,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
54,2451,-0.3326,0.2910,-12.31,10.77,37,23.31,28.80,34.43,34.45,0.259,0.154,0,0,0,0,6.41,0.49,78.4,21.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
55,2511,-2.0094,-1.9631,-120.57,-117.79,60,27.57,28.10,32.14,34.31,0.106,0.126,0,0,0,0,2.21,0.87,56.7,43.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
56,2543,-3.4909,-3.5737,-111.71,-114.36,32,30.28,29.37,34.29,34.23,0.072,0.225,0,0,0,0,2.15,0.37,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
57,2627,0.1624,0.0826,13.64,6.94,84,32.95,29.54,40.40,37.77,0.129,0.108,0,0,0,0,4.13,2.12,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.49882,23.93404,car_collision
58,2732,0.1519,0.1062,15.95,11.15,105,28.94,36.52,35.79,45.57,0.149,0.106,0,0,0,0,4.23,5.47,10.5,89.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
59,2764,-4.0300,-4.0622,-128.96,-129.99,32,30.34,30.59,34.07,34.21,0.057,0.176,0,0,0,0,1.94,0.12,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
60,2868,0.0437,-0.1176,4.54,-12.23,104,32.19,26.87,38.53,36.32,0.109,0.197,0,0,0,0,4.79,4.73,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
61,2928,0.1258,0.1072,7.55,6.43,60,32.08,33.28,37.37,38.68,0.075,0.149,0,0,0,0,2.35,0.13,95.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
62,2988,0.2420,0.0874,14.52,5.25,60,33.49,34.66,38.01,42.37,0.150,0.084,0,0,0,0,2.52,0.33,83.3,16.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
63,3052,-1.1185,-1.1800,-71.58,-75.52,64,33.19,30.71,38.50,34.43,0.094,0.168,0,0,0,0,2.11,0.69,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
64,3097,0.0669,0.0398,3.01,1.79,45,31.39,30.95,34.21,34.43,0.101,0.164,0,0,0,0,2.86,0.13,97.8,2.2,NaN,NaN,NaN,NaN,NaN,NaN,0.01135,10.52130,car_collision
65,3129,-0.6845,-0.6496,-21.90,-20.79,32,31.54,31.56,34.23,34.21,0.136,0.064,0,0,0,0,2.35,0.00,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
66,3215,0.1197,0.2684,10.30,23.08,86,31.95,32.76,39.12,35.75,0.143,0.121,0,0,0,0,2.42,0.88,55.8,44.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
67,3247,-5.5220,0.2706,-176.70,8.66,32,14.53,31.89,34.21,34.23,0.383,0.138,0,0,0,0,8.89,2.94,37.5,62.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
68,3351,0.2953,0.1446,30.71,15.04,104,31.86,35.07,37.69,44.89,0.102,0.179,0,0,0,0,4.48,1.25,55.8,44.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
69,3413,0.0805,0.1389,4.99,8.61,62,29.33,31.87,38.95,38.79,0.085,0.081,0,0,0,0,3.21,1.61,22.6,77.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
70,3477,0.1415,0.1416,9.05,9.06,64,33.91,33.88,37.88,40.05,0.071,0.099,0,0,0,0,2.47,0.12,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
71,3566,0.1808,0.1768,16.09,15.74,89,29.77,30.89,34.23,34.46,0.083,0.150,0,0,0,0,2.73,0.45,77.5,22.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
72,3631,-1.5106,-1.4200,-98.19,-92.30,65,24.39,25.70,34.41,34.50,0.194,0.109,0,0,0,0,3.15,1.45,30.8,69.2,NaN,NaN,NaN,NaN,NaN,NaN,-0.10079,11.24821,wall_collision
73,3685,-0.7025,-0.7785,-37.93,-42.04,54,29.94,29.00,34.43,34.21,0.084,0.135,0,0,0,0,2.36,0.48,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
74,3725,-3.0958,-3.0749,-123.83,-122.99,40,31.69,31.28,34.21,34.23,0.141,0.079,0,0,0,0,2.02,0.00,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
75,3758,0.2970,-0.0170,9.80,-0.56,33,32.01,30.50,34.43,34.21,0.027,0.138,0,0,0,0,6.20,0.18,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
76,3869,0.2993,0.2092,33.22,23.22,111,32.95,34.10,37.16,38.29,0.140,0.137,0,0,0,0,2.82,0.72,64.0,36.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
77,3944,-0.0607,0.0501,-4.55,3.76,75,28.25,32.49,38.82,37.91,0.090,0.048,0,0,0,0,4.43,3.25,12.0,88.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
78,4009,-0.6456,-0.6372,-41.97,-41.42,65,30.20,30.85,34.23,34.44,0.110,0.125,0,0,0,0,2.25,0.31,96.9,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
79,4203,0.1512,0.0714,29.34,13.86,194,37.01,33.10,44.24,42.17,0.112,0.169,0,0,0,0,2.70,6.48,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.27143,24.87201,wall_collision
80,4313,0.1348,0.2800,14.82,30.80,110,30.69,37.80,34.50,44.51,0.125,0.109,0,0,0,1,5.50,3.40,30.9,69.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
81,4345,-0.7013,-0.7293,-22.44,-23.34,32,32.17,31.88,34.43,34.40,0.046,0.132,0,0,0,0,2.13,0.06,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
82,4385,0.0539,0.0280,2.15,1.12,40,31.59,30.35,34.21,34.23,0.098,0.069,0,0,0,0,2.35,0.40,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
83,4426,0.0396,0.2912,1.62,11.94,41,30.39,31.27,34.21,34.45,0.211,0.100,0,0,0,0,4.53,0.20,90.2,9.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
84,4462,0.0002,-0.0205,0.01,-0.74,36,31.87,30.34,34.43,34.21,0.111,0.065,0,0,0,0,2.29,0.28,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
85,4592,0.1738,0.1393,22.60,18.11,130,34.79,32.58,41.13,40.33,0.116,0.086,0,0,0,0,4.00,2.71,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
86,4625,-0.3092,-0.3417,-10.20,-11.28,33,31.29,30.40,34.44,34.21,0.148,0.198,0,0,0,0,2.91,0.12,97.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,-0.11293,14.30783,car_collision
